매장명,주소,위도,경도
미사역점,"경기도 하남시 미사강변동로 95, 힐스테이트 미사역 그랑파사쥬 1층 1075호",37.5637312032917,127.191741670397
미아사거리역점,서울시 강북구 미아동 60-5,37.6131606587204,127.029516207678
방배역점,서울시 서초구 방배동 909-8,37.4814780072867,126.996949821446
배곧신도시점,경기도 시흥시 배곧동 199-1,37.3699300639966,126.730075241135
보라매역점,서울시 동작구 대방동 400-3,37.499477678864,126.920655071507
분당서현점,경기도 성남시 분당구 서현동 268-6 101호,37.3835227041766,127.121777772729
사당역점,서울 서초구 방배동444-15,37.4782164762888,126.982081629987
삼성역점,서울시 강남구 대치동 946,37.5082139661208,127.062278149239
삼성점,서울특별시 강남구 삼성동 157-4 1층,37.5078184070295,127.056958209422
삼성중앙역점,서울 강남구 삼성동 51-2 1층,37.5131581204646,127.052685372221
삼성타운점,서울 서초구 서초대로78길 26 (서초동1327-7),37.4953622078841,127.027726616132
삼성테헤란로점,서울시 강남구 삼성동 144-23 1층,37.5068422906295,127.055181798916
상암DMC점,서울 마포구 상암동 1605,37.5794064097977,126.890419224603
서산석림점,충남 서산시 한마음 13로 18,36.7751070043354,126.461312547533
서산터미널점,충남 서산시 안견로 185,36.7818338077165,126.459576819638
서소문로점,서울 중구 서소문로 130 1층,37.5634153976887,126.975525126396
서울대입구역점,서울시 관악구 남부순환로 1832 1층,37.4807059211487,126.953497637127
서울성균관대점,"서울특별시 종로구 성균관로 3, 지상1층",37.5833322525816,126.998325202246
서울스퀘어점,서울 중구 한강대로 416,37.555503632236,126.973751343837
서울시청역점,"서울시 중구 서소문로 89-20, 지하1층 B107호(정동, 삼정 아트테라스 정동)",37.5632510909133,126.972031493823
서초남부점,"서울시 서초구 반포대로 22길 7, 1층 102호",37.4887974265414,127.009870797114
서초법원점,"서울시 서초구 서초동 1554-5 아스트라 101호, 102호",37.4925626370091,127.011003546676
서초위브점,서울 서초구 서초동 1362,37.4861512219599,127.032612190841
서초점,"서울 서초구 서초대로 254 B105호 (서초동, 오퓨런스)",37.4920207116979,127.009620980568
서현CGV점,경기도 분당구 서현동 256,37.3873603746149,127.122443997731
선릉공원점,서울 강남구 삼성동 142-46,37.5060057459401,127.05252822773
선릉역사거리점,서울 강남구 역삼동 705-19,37.504653162761,127.048291811329
